MSE,Equal Weight,Min Var,MVO(1),MVO(5),MVO(10),
Mean,0.01,0.01,0.01,0.01,0.03,
Std.Dev,0.05,0.03,0.12,0.11,0.11,
Sharpe,0.30,0.29,0.08,0.12,0.24,
CEQ,0.01,0.01,0.00,-0.02,-0.03,
CRRA(1.5),-16.58,-20.62,-21.00,-17.71,-12.28,
,,,,,,
,,,,,,
Ridge,Equal Weight,Min Var,MVO(1),MVO(5),MVO(10),
Mean,0.01,0.01,0.02,0.02,0.02,
Std.Dev,0.05,0.04,0.09,0.08,0.07,
Sharpe,0.30,0.27,0.18,0.19,0.29,
CEQ,0.01,0.01,0.01,0.00,0.00,
CRRA(1.5),-16.58,-18.34,-15.94,-16.10,-14.14,
,,,,,,
,,,,,,
Lasso,Equal Weight,Min Var,MVO(1),MVO(5),MVO(10),
Mean,0.01,0.01,0.02,0.02,0.03,
Std.Dev,0.05,0.04,0.09,0.08,0.08,
Sharpe,0.30,0.27,0.18,0.29,0.43,
CEQ,0.01,0.01,0.01,0.01,0.00,
CRRA(1.5),-16.58,-18.32,-15.93,-13.06,-10.81,
,,,,,,
,,,,,,
MAE,Equal Weight,Min Var,MVO(1),MVO(5),MVO(10),
Mean,0.01,0.01,0.01,0.02,0.02,
Std.Dev,0.05,0.03,0.15,0.10,0.08,
Sharpe,0.30,0.30,0.08,0.24,0.31,
CEQ,0.01,0.01,0.00,0.00,-0.01,
CRRA(1.5),-16.58,-19.98,-17.69,-13.00,-12.70,
,,,,,,
,,,,,,
Huber,Equal Weight,Min Var,MVO(1),MVO(5),MVO(10),
Mean,0.01,0.01,0.02,0.07,0.08,
Std.Dev,0.05,0.03,0.17,0.15,0.14,
Sharpe,0.30,0.29,0.14,0.47,0.57,
CEQ,0.01,0.01,0.01,0.01,-0.02,
CRRA(1.5),-16.58,-20.51,-12.95,-7.56,-7.07,
,,,,,,
,,,,,,
Cauchy,Equal Weight,Min Var,MVO(1),MVO(5),MVO(10),
Mean,0.01,0.01,0.02,0.03,0.03,
Std.Dev,0.05,0.03,0.11,0.12,0.10,
Sharpe,0.26,0.29,0.17,0.23,0.33,
CEQ,0.01,0.01,0.01,-0.01,-0.02,
CRRA(1.5),-18.07,-20.13,-14.68,-12.23,-10.76,
,,,,,,
,,,,,,
Quantile(25),Equal Weight,Min Var,MVO(1),MVO(5),MVO(10),
Mean,0.01,0.01,0.01,0.03,0.03,
Std.Dev,0.05,0.03,0.10,0.09,0.08,
Sharpe,0.26,0.25,0.12,0.30,0.40,
CEQ,0.01,0.01,0.01,0.01,0.00,
CRRA(1.5),-18.07,-21.51,-18.20,-12.22,-11.24,
,,,,,,
,,,,,,
Arctan,Equal Weight,Min Var,MVO(1),MVO(5),MVO(10),
Mean,0.01,0.01,0.02,0.02,0.03,
Std.Dev,0.05,0.04,0.11,0.12,0.10,
Sharpe,0.26,0.29,0.16,0.21,0.30,
CEQ,0.01,0.01,0.01,-0.01,-0.02,
CRRA(1.5),-18.07,-19.53,-14.85,-12.69,-11.57,
,,,,,,
,,,,,,
Soft L1,Equal Weight,Min Var,MVO(1),MVO(5),MVO(10),
Mean,0.01,0.01,0.02,0.03,0.03,
Std.Dev,0.05,0.03,0.15,0.12,0.12,
Sharpe,0.26,0.29,0.13,0.23,0.27,
CEQ,0.01,0.01,0.01,-0.01,-0.04,
CRRA(1.5),-18.07,-20.49,-14.33,-11.98,-11.10,
,,,,,,
,,,,,,
Quantile(75),Equal Weight,Min Var,MVO(1),MVO(5),MVO(10),
Mean,0.01,0.01,0.02,0.04,0.04,
Std.Dev,0.05,0.03,0.17,0.12,0.12,
Sharpe,0.26,0.27,0.14,0.29,0.35,
CEQ,0.01,0.01,0.01,0.00,-0.03,
CRRA(1.5),-18.07,-20.85,-12.88,-10.64,-9.78,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
